,idscrap,time_saved,minutes,theorique
0,1,2018-12-04 15:00:39.625421,17,False
1,1,2018-12-04 15:00:39.625421,30,True
2,1,2018-12-04 15:00:39.641049,45,True
3,2,2018-12-04 15:01:06.215654,16,False
4,2,2018-12-04 15:01:06.231244,29,True
5,2,2018-12-04 15:01:06.231244,44,True
6,2,2018-12-04 15:01:06.231244,59,True
7,3,2018-12-04 15:01:32.513492,16,False
8,3,2018-12-04 15:01:32.513492,29,True
9,3,2018-12-04 15:01:32.513492,44,True
10,3,2018-12-04 15:01:32.529153,59,True
11,4,2018-12-04 15:01:59.180592,16,False
12,4,2018-12-04 15:01:59.196168,29,True
13,4,2018-12-04 15:01:59.196168,44,True
14,4,2018-12-04 15:01:59.196168,59,True
15,5,2018-12-04 15:02:26.196216,14,False
16,5,2018-12-04 15:02:26.196216,39,False
17,5,2018-12-04 15:02:26.196216,43,True
18,5,2018-12-04 15:02:26.196216,58,True
19,6,2018-12-04 15:02:52.860016,14,False
20,6,2018-12-04 15:02:52.860016,39,False
21,6,2018-12-04 15:02:52.875637,43,True
22,6,2018-12-04 15:02:52.875637,58,True
23,7,2018-12-04 15:03:19.929713,13,False
24,7,2018-12-04 15:03:19.929713,38,False
25,7,2018-12-04 15:03:19.929713,42,True
26,7,2018-12-04 15:03:19.929713,57,True
27,8,2018-12-04 15:03:47.062775,13,False
28,8,2018-12-04 15:03:47.062775,38,False
29,8,2018-12-04 15:03:47.078402,42,True
30,8,2018-12-04 15:03:47.078402,57,True
31,9,2018-12-04 15:04:13.336617,12,False
32,9,2018-12-04 15:04:13.358652,37,False
33,9,2018-12-04 15:04:13.361669,41,True
34,9,2018-12-04 15:04:13.364676,56,True
0,10,2018-12-04 15:04:52.145673,12,False
0,10,2018-12-04 15:04:52.145673,37,False
0,10,2018-12-04 15:04:52.145673,41,True
0,10,2018-12-04 15:04:52.145673,56,True
0,11,2018-12-04 15:05:18.639236,11,False
0,11,2018-12-04 15:05:18.639236,36,False
0,11,2018-12-04 15:05:18.639236,40,True
0,11,2018-12-04 15:05:18.654848,55,True
0,12,2018-12-04 15:05:44.998636,11,False
0,12,2018-12-04 15:05:45.014267,36,False
0,12,2018-12-04 15:05:45.014267,40,True
0,12,2018-12-04 15:05:45.014267,55,True
0,13,2018-12-04 15:06:11.341784,10,False
0,13,2018-12-04 15:06:11.341784,35,False
0,13,2018-12-04 15:06:11.341784,39,True
0,13,2018-12-04 15:06:11.341784,54,True
0,14,2018-12-04 15:06:38.149110,10,False
0,14,2018-12-04 15:06:38.149110,35,False
0,14,2018-12-04 15:06:38.164684,39,True
0,14,2018-12-04 15:06:38.164684,54,True
0,15,2018-12-04 15:07:05.376439,9,False
0,15,2018-12-04 15:07:05.376439,34,False
0,15,2018-12-04 15:07:05.376439,38,True
0,15,2018-12-04 15:07:05.392101,53,True
0,16,2018-12-04 15:07:31.676486,9,False
0,16,2018-12-04 15:07:31.692110,34,False
0,16,2018-12-04 15:07:31.692110,38,True
0,16,2018-12-04 15:07:31.692110,53,True
